2026-05-11 11:39:11.788 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 20912 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 11:39:11.794 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 11:39:13.411 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 11:39:13.423 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 11:39:13.425 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 11:39:13.426 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 11:39:13.478 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1600 ms
2026-05-11 11:39:14.859 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 11:39:15.109 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 11:39:15.179 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 11:39:15.188 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 4.073 seconds (process running for 4.462)
2026-05-11 11:40:20.373 [http-nio-443-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1778387221528,"i_e":{"enable_itp_optimization":23},"i_et":1778133609885,"i_b":"DXW3Yop/N3aerap7fSbVpiLSyr0GQ6Oiu4aHIgptaiE"}] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-05-11 11:40:20.381 [http-nio-443-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-11 11:40:21.674 [http-nio-443-exec-8] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 534 ms
2026-05-11 12:04:05.589 [http-nio-443-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 200 ms
2026-05-11 12:10:51.580 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 3512 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 12:10:51.583 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 12:10:52.576 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 12:10:52.586 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 12:10:52.588 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 12:10:52.589 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 12:10:52.639 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1016 ms
2026-05-11 12:10:53.640 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 12:10:53.857 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 12:10:53.879 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 12:10:53.885 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 2.807 seconds (process running for 3.141)
2026-05-11 12:12:24.850 [http-nio-443-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1778387221528,"i_e":{"enable_itp_optimization":23},"i_et":1778133609885,"i_b":"DXW3Yop/N3aerap7fSbVpiLSyr0GQ6Oiu4aHIgptaiE"}] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-05-11 12:12:24.857 [http-nio-443-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-11 12:12:26.129 [http-nio-443-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 614 ms
2026-05-11 12:22:06.444 [http-nio-443-exec-6] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] Llamada recibida fuera de la ventana horaria permitida (00:00-00:30). Hora actual: 12:22:06.444982700. En producción esta solicitud sería rechazada.
2026-05-11 12:22:06.789 [http-nio-443-exec-6] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Metadatos registrados en .\data\conciliaciones-recibidas.jsonl – archivo: ACR_MEF_SUNAT_20260511.txt, lineas: 12
2026-05-11 12:22:06.793 [virtual-62] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Archivo plano guardado: .\data\conciliaciones\ACR_MEF_SUNAT_20260511.txt (672 bytes)
2026-05-11 12:27:06.619 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 41368 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 12:27:06.622 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 12:27:07.742 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 12:27:07.755 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 12:27:07.756 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 12:27:07.757 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 12:27:07.809 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1147 ms
2026-05-11 12:27:09.521 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 12:27:09.746 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 12:27:09.766 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 12:27:09.773 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 3.757 seconds (process running for 4.587)
2026-05-11 14:04:44.804 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 44580 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 14:04:44.807 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 14:04:45.854 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 14:04:45.866 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 14:04:45.868 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 14:04:45.868 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 14:04:45.925 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1074 ms
2026-05-11 14:04:47.189 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 14:04:47.418 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 14:04:47.440 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 14:04:47.446 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 3.164 seconds (process running for 3.517)
2026-05-11 14:12:28.893 [http-nio-443-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-11 14:12:39.882 [http-nio-443-exec-5] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 538 ms
2026-05-11 14:17:35.114 [http-nio-443-exec-9] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] Llamada recibida fuera de la ventana horaria permitida (00:00-00:30). Hora actual: 14:17:35.114765700. En producción esta solicitud sería rechazada.
2026-05-11 14:17:35.115 [http-nio-443-exec-9] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] No se pudo decodificar base64 para contar líneas: Last unit does not have enough valid bits
2026-05-11 14:17:35.118 [http-nio-443-exec-9] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Metadatos registrados en .\data\conciliaciones-recibidas.jsonl – archivo: ACR_MEF_SUNAT_20260511.txt, lineas: 0
